Franchise,Films,Mean [$],Total [$]
Kindergarten Cop,2,100978844.0,201957688.0
King Kong (1933 series),2,5000000.0,10000000.0
King Kong (1976 series),2,47662832.0,95325665.0
King of the Zombies,2,0.0,0.0
Kingsman,1,414351546.0,414351546.0
Kirikou,2,0.0,0.0
Kizumonogatari,3,0.0,0.0
Klassefesten (Samling),2,0.0,0.0
Kleines Arschloch,1,0.0,0.0
Klovn,2,0.0,0.0
Knerten,1,0.0,0.0
Kocan Kadar Konuş Serisi,1,0.0,0.0
Koker Trilogy,3,0.0,0.0
Kokowääh Filmreihe,2,21500000.0,43000000.0
Kolpaçino Serisi,1,0.0,0.0
Korengal Valley Documentaries,2,711455.0,1422910.0
Krrish,3,0.0,0.0
Krummerne (Samling),1,0.0,0.0
Kung Fu Mahjong,1,0.0,0.0
Kung Fu Panda,3,606202555.0,1818607666.0
Kusswechsel Filmreihe,2,0.0,0.0
Kvartet I,6,6568198.0,39409191.0
L'allenatore nel pallone - Collezione,2,5371884.0,10743767.0
LEGO DC Comics Super Heroes,5,0.0,0.0
La Classe Américaine & Cie,2,0.0,0.0
La Tour Infernale,1,0.0,0.0
La Trilogie Marseillaise,3,0.0,0.0
La cage aux folles,2,13687192.0,27374384.0
La trilogie de la mort – Nacho Cerda,2,0.0,0.0
Lady Snowblood,1,0.0,0.0
Lady and the Tramp,2,46800000.0,93600000.0
Laid to Rest,2,0.0,0.0
Lake Placid,5,11374083.0,56870414.0
Lammbock,1,0.0,0.0
Lamù,1,0.0,0.0
Largo Winch,2,0.0,0.0
LasseMaja: Samling,1,0.0,0.0
Lassie (Kinofilme),6,0.0,0.0
Lauras Stern,1,0.0,0.0
Lavalantula,2,0.0,0.0
Le Cœur des Hommes,2,0.0,0.0
Le Gendarme de St. Tropez,6,0.0,0.0
Lee Rock,1,0.0,0.0
Left Behind,3,0.0,0.0
Legally Blonde,3,88896507.0,266689521.0
Legend of the Galactic Heroes,3,0.0,0.0
Legends of the Poisonous Seductress,1,0.0,0.0
Lemmy Caution,1,0.0,0.0
Lemon Popsicle,1,0.0,0.0
Leningrad Cowboys,2,0.0,0.0
Leprechaun (Original Series),6,1802927.0,10817562.0
Les Boys,1,0.0,0.0
Les Charlots - Saga,1,0.0,0.0
Les Mystères de l'ouest (Collection),2,0.0,0.0
Les Profs,1,0.0,0.0
Les Ripoux - Trilogie,3,0.0,0.0
Les Tuche,2,0.0,0.0
Lethal Weapon,4,238809311.0,955237243.0
Letters to Santa,1,0.0,0.0
Lew Harper,2,6000000.0,12000000.0
Lezioni di Cioccolato,1,0.0,0.0
Library Wars,2,0.0,0.0
Like Mike,2,0.0,0.0
Lilla Jönsonligan,2,0.0,0.0
Lilo & Stitch,4,36442882.0,145771527.0
Little Bear,1,0.0,0.0
Little Forest,2,0.0,0.0
Little Nicholas,2,0.0,0.0
Little Witch Academia,2,0.0,0.0
Living Dead,6,28522577.0,171135460.0
Living Trilogy,3,0.0,0.0
Lone Wolf and Cub,6,0.0,0.0
Lone Wolf film series,3,0.0,0.0
Lonesome Dove,4,0.0,0.0
Long Arm of the Law,1,0.0,0.0
Look Who's Talking,3,98666667.0,296000000.0
Loose Change,2,0.0,0.0
Los Leguineche - Colección,1,1622164.0,1622164.0
Lost Boys,3,10740856.0,32222567.0
Lotta,2,0.0,0.0
Love Hina,2,0.0,0.0
Love in a...,2,0.0,0.0
Love in the City,3,6436850.0,19310550.0
Lovey-Dovey,3,5950237.0,17850711.0
Lucky Luke (Animation),2,0.0,0.0
Lucky Luke (Terence Hill),1,0.0,0.0
Lucky Stars,3,0.0,0.0
Lupin the Third,6,0.0,0.0
M.D. Geist,2,0.0,0.0
MVP,2,0.0,0.0
Ma and Pa Kettle,2,0.0,0.0
MacGyver (TV Movies),2,0.0,0.0
Machete,2,23168030.0,46336060.0
Macon County,1,0.0,0.0
Macross Frontier,1,0.0,0.0
Macskafogó gyűjtemény,1,0.0,0.0
Mad Max,4,134922348.0,539689391.0
Madagascar,4,564263598.0,2257054393.0
Madeline,1,0.0,0.0
Madicken,2,0.0,0.0
Magic Kid,1,0.0,0.0
Magic Mike,2,144867314.0,289734628.0
Maigret (Rowan Atkinson),3,0.0,0.0
Major Korenev Trilogy,3,1722113.0,5166340.0
Major League,3,27998591.0,83995773.0
Mall Cop,2,145445186.0,290890373.0
Mamma Mia!,1,609841637.0,609841637.0
Man of Marble/Iron,2,0.0,0.0
Man of Steel,2,768052856.0,1536105712.0
Mandıra Filozofu Serisi,1,0.0,0.0
Maniac Cop,3,0.0,0.0
Mann Filmreihe,1,0.0,0.0
Mannequin,2,23236811.0,46473622.0
Manuale d'amore - Collezione,2,0.0,0.0
Mardock Scramble,2,0.0,0.0
"Maria, ihm schmeckt's nicht!",1,0.0,0.0
Mark,3,0.0,0.0
Marley & Me,2,122041188.0,244082376.0
Martial Law,1,0.0,0.0
"Martin Scorsese’s World Cinema Project, Vol. 1",6,0.0,0.0
Masti,2,23500000.0,47000000.0
Max (Collection),1,43967255.0,43967255.0
McDull,1,0.0,0.0
McHale's Navy,2,2264922.0,4529843.0
Mean Girls,2,64521436.0,129042871.0
Meatballs,4,0.0,0.0
Mechanic,2,88400221.0,176800442.0
Meet the Parents,3,385912523.0,1157737569.0
Mega Shark,3,0.0,0.0
Megazone 23,2,0.0,0.0
Memories,1,0.0,0.0
Men In Black,3,551745373.0,1655236118.0
Men in the City,2,0.0,0.0
Meu Passado me Condena,1,0.0,0.0
Mexico Trilogy,3,41877316.0,125631947.0
Mi Nismo Anđeli,1,0.0,0.0
Mickey's Upon a Christmas,2,0.0,0.0
Midnight Diner,1,0.0,0.0
Mikogami Trilogy / Wanderer Jôkichi,1,0.0,0.0
Miles Jupp Standup,1,0.0,0.0
Mimic,3,8493497.0,25480490.0
Minions: 3 Mini-Movie,1,0.0,0.0
Mirrors,2,36218220.0,72436439.0
Miss Congeniality,2,106000000.0,212000000.0
Missing in Action,3,13253920.0,39761759.0
Mission: Impossible,5,555795599.0,2778977995.0
Mister Blot,2,0.0,0.0
Mister Roberts,1,0.0,0.0
Mobile Suit Gundam,2,0.0,0.0
Mods,1,0.0,0.0
Mommies,2,5833044.0,11666088.0
Mondo Cane,1,0.0,0.0
Monster High,14,0.0,0.0
Monsters,2,2121489.0,4242978.0
"Monsters, Inc.",3,435458621.0,1306375863.0
Mortal Kombat,2,86786390.0,173572781.0
Moskva-Kassiopeya,2,0.0,0.0
Mostly Ghostly,3,0.0,0.0
Mothra,4,0.0,0.0
Mountain Family Robinson,2,0.0,0.0
Mr. Bean,2,240474507.0,480949014.0
Mr. Bones,1,0.0,0.0
Mr. Boogedy,1,0.0,0.0
Mr. Moto,7,0.0,0.0
Mr. Vampire,2,0.0,0.0
Mr. Wong,3,0.0,0.0
Mrs. Miracle,1,0.0,0.0
Mulan,2,152160127.0,304320254.0
Munna Bhai,2,0.0,0.0
"Murder, She Baked",4,0.0,0.0
My Big Fat Greek Wedding,2,228833648.0,457667295.0
My Bloody Valentine,2,50367359.0,100734718.0
My Friends,2,0.0,0.0
My Girl,2,0.0,0.0
My Little Pony: Equestria Girls,3,0.0,0.0
My Mom is a Character,2,0.0,0.0
My Sassy Girl,1,0.0,0.0
My Sisters Kids,1,0.0,0.0
My Wife is a Gangster,2,0.0,0.0
Mystery Woman,1,0.0,0.0
Mythica,5,0.0,0.0
Mörderischer Norden,1,0.0,0.0
NASU,1,0.0,0.0
Nadodikkattu,1,0.0,0.0
Naked,3,0.0,0.0
Naked Fear,1,0.0,0.0
Naked Gun,3,72273062.0,216819186.0
Nana,1,0.0,0.0
Nanny McPhee,2,107868105.0,215736210.0
Napapiirin sankarit,2,0.0,0.0
Naruto,4,4330534.0,17322136.0
National Lampoon's Vacation,5,64573744.0,322868721.0
National Lampoon’s Van Wilder,3,14787330.0,44361991.0
National Treasure,2,402407531.0,804815062.0
Nativity,3,0.0,0.0
Naval Cadets,3,0.0,0.0
Navarone,2,18065000.0,36130000.0
Neighbors,2,188457960.0,376915921.0
Nekromantik,2,0.0,0.0
Nemesis,4,0.0,0.0
Nevada Smith,2,0.0,0.0
Never Back Down,3,13875810.0,41627431.0
New Kids,2,4393378.0,8786756.0
Nick Carter,2,0.0,0.0
Night at the Museum,3,445670431.0,1337011293.0
Night of the Demons,3,1036635.0,3109904.0
Niko - Coleccion,2,8500000.0,17000000.0
Nim's Island,2,50038171.0,100076342.0
Ninja,2,0.0,0.0
"Ninja, Band of Assassins",4,0.0,0.0
Ninjas vs.,1,0.0,0.0
Nitro,1,0.0,0.0
No Good Middle-Aged Yakuza Trilogy,1,0.0,0.0
"No Retreat, No Surrender",3,1590097.0,4770291.0
Nobody,2,0.0,0.0
Northpole,1,0.0,0.0
Not Quite Human,3,0.0,0.0
Now You See Me,2,226300116.0,452600231.0
Nuke 'Em High,4,0.0,0.0
Nymphomaniac,1,2227167.0,2227167.0
OSS 117,2,0.0,0.0
OSS 117 The Original Saga,1,0.0,0.0
Ocean's,3,374924685.0,1124774054.0
Ocho apellidos - Colección,2,0.0,0.0
"Oh, God!",3,13895748.0,41687243.0
Old Way,1,0.0,0.0
Olsen Banden (Samling),1,0.0,0.0
Olympia,2,0.0,0.0
Omae Umasou Da na,1,0.0,0.0
Omega Code Series,2,1200000.0,2400000.0
On Any Sunday,2,0.0,0.0
Once Upon a Time in China,4,15441674.0,61766696.0
Once were Warriors,1,2201126.0,2201126.0
One Missed Call,4,0.0,0.0
One Piece,3,39735691.0,119207073.0
Ong Bak,3,3759014.0,11277041.0
Onomichi Trilogy,2,0.0,0.0
Open Season,4,49327257.0,197309027.0
Open Water,2,27333977.0,54667954.0
Oskar Luts,3,0.0,0.0
Osobennosti Natsionalnoy ... -,5,0.0,0.0
Ostwind Filmreihe,1,0.0,0.0
Otto,3,0.0,0.0
Ouija,2,92648008.0,185296017.0
Our Man Flint,2,0.0,0.0
Outlaw Gangster VIP: The Complete,6,0.0,0.0
Outpost,3,0.0,0.0
Outrage,2,0.0,0.0
Overheard,3,0.0,0.0
PTU,1,0.0,0.0
Pacific Rim,1,407602906.0,407602906.0
"Pagnol, Childhood's Memories",2,0.0,0.0
Painted Skin,2,0.0,0.0
Panda! Go Panda! Collección,2,0.0,0.0
"Pane, amore e… - Collezione",3,0.0,0.0
Papa ou Maman,1,0.0,0.0
Paradise Lost,3,0.0,0.0
Paradise Trilogy,3,12492.0,37476.0
Paranormal Activity,6,147308094.0,883848567.0
Paranormal Investigations,4,0.0,0.0
Parasyte,2,0.0,0.0
Parent Trap,3,0.0,0.0
Patlabor,2,0.0,0.0
Pee-wee's,3,18687554.0,56062662.0
Pekko aikamiespoika,1,0.0,0.0
Penitenciaría - Colección,2,0.0,0.0
Per Fly trilogien (Samling),3,0.0,0.0
Percy Jackson,2,200537980.0,401075960.0
Pet Sematary,2,37280960.0,74561920.0
Peter Pan,2,98633666.0,197267333.0
Phantasm,5,3854264.0,19271320.0
Philo & Clyde,2,35343714.0,70687429.0
Philo Vance,2,0.0,0.0
Phobia,2,0.0,0.0
Pierino - Serie ufficiale,1,0.0,0.0
Pippi Longstocking,3,0.0,0.0
Piranha 3D,2,45840946.0,91681893.0
Piranha,2,0.0,0.0
Pirates of the Caribbean,5,904315365.0,4521576826.0
Pitbull - Kolekcja,3,0.0,0.0
Pitch Perfect,3,134285540.0,402856620.0
Planes,2,185477250.0,370954499.0
Planet of the Apes (Reboot),3,521137571.0,1563412714.0
Planet of the Apes Original,5,16657729.0,83288644.0
Pocahontas,2,173039886.0,346079773.0
Poison Ivy,4,0.0,0.0
Pokémon,22,31740945.0,698300796.0
Police Academy,7,43520462.0,304643237.0
Police Story,7,17649181.0,123544268.0
Poltergeist,3,59113555.0,177340665.0
Porky's,3,60002143.0,180006429.0
Power Rangers,2,41989870.0,83979739.0
Predator,3,93868226.0,281604679.0
Prep & Landing,1,0.0,0.0
Problem Child,3,0.0,0.0
Project A,2,0.0,0.0
Prom Night,5,6455198.0,32275991.0
Prometheus,2,317775192.0,635550385.0
Prostokvashino,3,0.0,0.0
Prudence et Bélisaire Beresford,2,0.0,0.0
Psy,2,0.0,0.0
Psycho,3,27068869.0,81206606.0
Public Enemy Series,1,0.0,0.0
Puella Magi Madoka Magica: The Movie,3,4315960.0,12947880.0
Puff,1,0.0,0.0
Pulse,2,14953842.0,29907685.0
Pumping Iron,2,0.0,0.0
Pumpkinhead,2,2192758.0,4385516.0
Puppet Master,10,0.0,0.0
Pusher,3,0.0,0.0
Puss 'n Boots,1,0.0,0.0
Qatsi,3,775475.0,2326424.0
Quando le donne avevano la coda,1,0.0,0.0
Quarantine,2,20427710.0,40855419.0
Quatermass (Hammer series),3,0.0,0.0
RED,2,35832481.0,71664962.0
Raaz,1,0.0,0.0
Race,2,0.0,0.0
Race Gurram collection,1,0.0,0.0
Rakht Charitra,1,0.0,0.0
Rambo,4,181968309.0,727873237.0
Rampage,3,0.0,0.0
Ranma,3,0.0,0.0
Rare Exports,1,0.0,0.0
Re-Animator,3,674471.0,2023414.0
Rebuild of Evangelion,3,33957942.0,101873825.0
Recep İvedik Serisi,4,38712874.0,154851495.0
Red Cliff,2,124436917.0,248873834.0
Red Lotus,1,0.0,0.0
Reeker,2,0.0,0.0
Regalo di Natale - Collezione,1,0.0,0.0
Resident Evil,6,205570288.0,1233421727.0
Resident Evil: Biohazard,3,0.0,0.0
Rest Stop,2,0.0,0.0
Return of the Living Dead,5,4699426.0,23497131.0
Revenge of the Nerds,4,5660508.0,22642033.0
Richard the Lionheart,1,0.0,0.0
Richie Rich,1,0.0,0.0
"Rico, Oskar 1, 2 & 3",1,0.0,0.0
Ride Along,2,139412568.0,278825135.0
Ring of Fire,1,0.0,0.0
Ringo,2,0.0,0.0
Ringu,4,6844268.0,27377073.0
Rio,2,492412098.0,984824195.0
Road House,1,30050028.0,30050028.0
Road Trip,2,59877139.0,119754278.0
Road to,7,0.0,0.0
Robert,2,0.0,0.0
Robert Langdon,3,448151719.0,1344455157.0
RoboCop,4,88016587.0,352066348.0
Robot Chicken: Star Wars,1,0.0,0.0
Robot Jox,3,0.0,0.0
Robotech (Samling),1,0.0,0.0
Rocky,7,191018013.0,1337126094.0
Rocky Horror,2,56446160.0,112892319.0
Romancing the Stone,2,91672719.0,183345438.0
Romantik Komedi [Seri],1,0.0,0.0
Rosemary's Baby,2,16697713.0,33395426.0
Rudolph the Red-Nosed Reindeer,4,0.0,0.0
Rugrats,3,33497262.0,100491786.0
Running Out Of Time,2,0.0,0.0
Rurouni Kenshin Live-Action,3,20566667.0,61700000.0
Rush Hour,3,283244966.0,849734899.0
S.W.A.T.,3,38881115.0,116643346.0
SPL,2,0.0,0.0
Sabrina the Teenage Witch,1,0.0,0.0
Sadako 3D,1,0.0,0.0
Saheb Biwi Aur Gangster,2,0.0,0.0
Sailor Moon,3,0.0,0.0
Saint Seiya,6,0.0,0.0
Saints and Soldiers,3,0.0,0.0
Salt and Pepper,1,0.0,0.0
Sami Swoi,1,0.0,0.0
Sammy's Adventure,2,0.0,0.0
Samurai,3,0.0,0.0
Samurai Trilogy,3,2446329.0,7338987.0
Santa Baby,2,0.0,0.0
Santa's Apprentice,1,0.0,0.0
Santas Paw,2,0.0,0.0
"Sarah, Plain and Tall",3,0.0,0.0
Sarkar,2,2950000.0,5900000.0
Sartana,5,0.0,0.0
Saturday Night Fever,2,151002927.0,302005854.0
Save The Last Dance,2,45519138.0,91038276.0
Saw,7,125472544.0,878307806.0
Sağ Salim Serisi,1,0.0,0.0
Scanners,4,7112938.0,28451752.0
Scary Movie,5,179311006.0,896555030.0
Schoolgirl Report,5,0.0,0.0
Schule,1,0.0,0.0
Scooby-Doo,4,114279384.0,457117536.0
Scream,4,151095732.0,604382926.0
Screamers,2,2890942.0,5781885.0
Screwballs,3,0.0,0.0
Scuola di ladri - Collezione,2,0.0,0.0
See No Evil,2,0.0,0.0
Seed,1,0.0,0.0
Seven Dwarfs,2,0.0,0.0
Seventh Company,2,0.0,0.0
Sex Up Filmreihe,1,0.0,0.0
Sex and Zen,2,198002.0,396003.0
Sex and the City,2,351800239.0,703600478.0
Sex is Zero,1,0.0,0.0
Shadow Boxing,2,9717366.0,19434733.0
Shadow Warriors,1,0.0,0.0
Shaft,4,32694029.0,130776116.0
Shanghai Noon,2,72627896.0,145255792.0
Shaolin Temple,3,6570754.0,19712261.0
Shark.Attack,3,0.0,0.0
Sharknado,4,0.0,0.0
Sharktopus,3,0.0,0.0
Sharpe,13,0.0,0.0
She,2,0.0,0.0
Sherlock Holmes (1939 series),12,0.0,0.0
Sherlock Holmes,2,429321840.0,858643679.0
Sherlock Holmes: The Golden Years,2,0.0,0.0
Shiloh,3,0.0,0.0
Shin Chan,1,0.0,0.0
Short Circuit,2,31163924.0,62327849.0
Short Peace,1,0.0,0.0
Showgirls,1,20350754.0,20350754.0
Shrek,5,591161402.0,2955807008.0
Sides of the Bed,1,0.0,0.0
"Signed, Sealed, Delivered",8,0.0,0.0
Silence of God Trilogy by Ingmar Bergman,3,0.0,0.0
Silent Hill,2,74955124.0,149910249.0
"Silent Night, Deadly Night",6,28148.0,168890.0
Simon Brenner,4,0.0,0.0
Sin City,2,99070718.0,198141436.0
Singam,1,9700000.0,9700000.0
Singham,2,12517000.0,25034000.0
Single White Female,2,24008701.0,48017402.0
Sinister,2,65297228.0,130594457.0
Sissi,3,0.0,0.0
Sister Act,2,144462090.0,288924179.0
Six Degrees of Celebration,5,4554404.0,22772019.0
Six Swedes,1,0.0,0.0
Skeleton Key,1,0.0,0.0
Ski School,2,0.0,0.0
Slap Shot,3,9333333.0,28000000.0
Slayers - Movie,5,0.0,0.0
Sleepaway Camp,5,0.0,0.0
Sleuth,2,171418.0,342835.0
Slime City,1,0.0,0.0
Smokey and the Bandit,3,66183001.0,198549004.0
Smokin' Aces,2,28551948.0,57103895.0
Snake Eater,1,0.0,0.0
Sniper,6,3165776.0,18994653.0
Snow,2,0.0,0.0
Snow Queen,3,4133333.0,12400000.0
Sometimes They Come Back,3,0.0,0.0
Son of Batman,3,0.0,0.0
Space Chimps,2,31900172.0,63800345.0
Space Dogs,2,3250000.0,6500000.0
Species,4,33134916.0,132539663.0
Speed,2,257478106.0,514956211.0
Spider-Man,3,832115506.0,2496346518.0
Spiders -,2,0.0,0.0
Spirits' Homecoming,1,0.0,0.0
Splash,2,34910667.0,69821334.0
SpongeBob,2,225877912.0,451755824.0
Spud,3,0.0,0.0
Spy Kids,4,137558458.0,550233830.0
St. Trinian's,4,0.0,0.0
Stake Land,2,16622.0,33245.0
Stakeout,2,0.0,0.0
Star Crash,2,0.0,0.0
Star Trek: Alternate Reality,3,398839169.0,1196517508.0
Star Trek: The Next Generation,4,113828206.0,455312826.0
Star Trek: The Original Series,6,103816667.0,622900000.0
Star Wars,8,929311849.0,7434494790.0
Star Wars: The Ewok Adventures,2,0.0,0.0
Star Wreck,1,0.0,0.0
Stargate SG-1,3,2966667.0,8900000.0
Starship Troopers,4,30303594.0,121214377.0
State Property,2,1899272.0,3798544.0
Steal This Film,2,0.0,0.0
Step Up,5,130187950.0,650939748.0
Stepford,2,0.0,0.0
Stir of Echoes,2,10566544.0,21133087.0
Stomp the Yard,1,75511123.0,75511123.0
Stray Cat Rock,2,0.0,0.0
Street Fighter,2,56093861.0,112187722.0
Street Fighter,4,0.0,0.0
Street Kings,2,32784934.0,65569869.0
StreetDance,3,6065826.0,18197477.0
Stuart Little,3,156697391.0,470092173.0
Subspecies,5,0.0,0.0
Sugata Sanshirō,2,0.0,0.0
Sunes samtliga Resor,2,0.0,0.0
Super Giant,3,0.0,0.0
Super Size Me,1,28575078.0,28575078.0
Super Troopers,1,18492362.0,18492362.0
Superman (DC Universe Animated),1,0.0,0.0
Superman / Batman (Animated),2,0.0,0.0
Superman,5,195381708.0,976908540.0
Surf's Up,1,149044513.0,149044513.0
Swamp Thing,2,96408.0,192816.0
Swan Princess Series,4,2511326.0,10045302.0
Swordsman,1,0.0,0.0
Sällskapsresorna,6,2276086.0,13656519.0
Síť (kolekce),2,55313982.0,110627965.0
TRON,2,216531382.0,433062763.0
Tada's Do-It-All,1,0.0,0.0
Tai Chi,2,0.0,0.0
Tainá,1,0.0,0.0
Takashi Miike's Black Society Trilogy,1,0.0,0.0
Takashi Miike's Young Thugs series,1,0.0,0.0
Taken,3,309581099.0,928743298.0
Tales From The Dark,1,0.0,0.0
Tales from the Crypt,5,1120000.0,5600000.0
Tales of the Four Seasons,4,0.0,0.0
Tangled,2,295897468.0,591794936.0
Tanu Weds Manu,2,126000.0,252000.0
Tarzan (Animation),3,149333333.0,448000000.0
Tarzan (Gordon Scott series),2,0.0,0.0
Tarzan (Johnny Weissmuller series),8,0.0,0.0
Tarzan (Lex Barker series),2,0.0,0.0
Tarzan (Mike Henry series),1,0.0,0.0
Taxi,4,31622906.0,126491626.0
Ted,2,383195452.0,766390903.0
Teen Beach,2,0.0,0.0
Teen Titans,2,0.0,0.0
Teen Wolf,2,0.0,0.0
Teenage Apocalypse Trilogy,3,9118.0,27354.0
Teenage Mutant Ninja Turtles (Original),3,107333333.0,322000000.0
Teenage Mutant Ninja Turtles (Remake),2,361411924.0,722823848.0
TekWar,4,0.0,0.0
Tekken,3,322333.0,967000.0
Ten Minutes Older... (Collection),2,0.0,0.0
Tenchi Muyô,3,0.0,0.0
Tengen Toppa Gurren Lagann,2,0.0,0.0
Tere Bin Laden,1,0.0,0.0
Tetsuo,3,0.0,0.0
Texas Chainsaw (Reboot),2,53535828.0,107071655.0
Texas Chainsaw Massacre,6,15346380.0,92078277.0
That's Entertainment,3,0.0,0.0
The 1997 Trilogy,1,0.0,0.0
The 36th Chamber of Shaolin,3,0.0,0.0
The ABCs of Death,3,9610.0,28831.0
The Adventures of Antoine Doinel,5,0.0,0.0
The Adventures of Erast Fandorin,3,0.0,0.0
The Adventures of Mickey Matson,1,0.0,0.0
The Amazing Colossal Man Duology,2,0.0,0.0
The Amazing Spider-Man,2,728966644.0,1457933289.0
The Amityville Horror,12,17778924.0,213347083.0
The Angel,2,0.0,0.0
The Angrez,1,300000.0,300000.0
The Apple Dumpling Gang,2,0.0,0.0
The Apu,3,240860.0,722579.0
The Are We,2,48959332.0,97918663.0
The Arrival,2,7024186.0,14048372.0
The Art of War,3,10066368.0,30199105.0
The August Underground,1,0.0,0.0
The Aum Shinrikyo,2,0.0,0.0
The Avengers,2,1462480802.0,2924961604.0
The BRD,3,0.0,0.0
The Bad New Bears,3,18142547.0,54427642.0
The Benji,4,0.0,0.0
The Best Man,2,53099488.0,106198975.0
The Bible,7,0.0,0.0
The Big Bottom Box,1,0.0,0.0
The Bill Douglas Trilogy,2,0.0,0.0
The Black Mask,1,0.0,0.0
The Black Stallion,2,23799822.0,47599643.0
The Blind Dead,3,0.0,0.0
The Blob,2,0.0,0.0
The Blue Lagoon collection,3,20553653.0,61660960.0
The Blues Brothers,2,64640637.0,129281274.0
The Boogeyman,3,22397620.0,67192859.0
The Boondock Saints,2,5329896.0,10659792.0
The Bourne,5,327483286.0,1637416431.0
The Bowery Boys,29,0.0,0.0
The Brady Bunch,2,0.0,0.0
The Brave Little Toaster,3,0.0,0.0
The Bremen Town Musicians (Collection),2,0.0,0.0
The Bride with White Hair,1,0.0,0.0
The Bridge,2,0.0,0.0
The Butterfly Effect,3,32020286.0,96060858.0
The Cabin Fever,3,10184465.0,30553394.0
The Carry On,25,0.0,0.0
The Cell,2,52077922.0,104155843.0
The Cheerleaders -,1,0.0,0.0
The Cheetah Girls,3,0.0,0.0
The Chronicles of Narnia,3,528048196.0,1584144587.0
The Chronicles of Riddick,4,66824422.0,267297687.0
The ChubbChubbs,1,0.0,0.0
The Collector,2,60421029.0,120842058.0
The Comedians Of Comedy,2,0.0,0.0
The Comics,3,0.0,0.0
The Complete Monterey Pop Festival,3,0.0,0.0
The Condemned,2,4321429.0,8642858.0
The Conjuring,2,319085074.0,638170149.0
The Cremaster Cycle,3,0.0,0.0
The Crimson Rivers,2,0.0,0.0
The Croods,1,585178928.0,585178928.0
The Crossing,2,0.0,0.0
The Crow,4,27979322.0,111917287.0
The Cutlass,1,0.0,0.0
The Cutting Edge,4,6276379.0,25105517.0
The Dark Knight,3,821238739.0,2463716216.0
The Dead,2,0.0,0.0
The Decline of Western Civilization,3,0.0,0.0
The Delta Force,3,8155754.0,24467261.0
The Dentist,2,0.0,0.0
The Descent,2,0.0,0.0
The Desert,1,0.0,0.0
The Devil's Carnival,1,0.0,0.0
The Dick Proenneke,4,0.0,0.0
The Dirty Dozen,4,11325000.0,45300000.0
The Disappearance Of Eleanor Rigby,3,328336.0,985007.0
The Discworld,5,0.0,0.0
The Doctor Series,4,0.0,0.0
The Dog Who Saved Christmas,1,0.0,0.0
The Dukes Of Hazzard,2,55401838.0,110803676.0
The Durango Kid,2,0.0,0.0
The Elusive Revengers,3,0.0,0.0
The Emigrants,2,0.0,0.0
The Emperor's New Groove,2,84663844.0,169327687.0
The Encounter,1,0.0,0.0
The Endless Summer,2,0.0,0.0
The Exorcist,5,117866324.0,589331619.0
The Expendables,3,264405454.0,793216361.0
The Exterminator,1,0.0,0.0
The Eye,5,11261953.0,56309766.0
The Falcon Series,2,0.0,0.0
The Falls,1,0.0,0.0
The Fast and the Furious,8,640637349.0,5125098793.0
The Female Prisoner Series,2,0.0,0.0
The Fjällbacka Murders,6,0.0,0.0
The Flicka,2,0.0,0.0
The Flintstones (Live-Action),2,200549742.0,401099483.0
The Fly (1958 series),3,1000000.0,3000000.0
The Fly,2,49766169.0,99532338.0
The Foreigner,2,0.0,0.0
The Four,1,0.0,0.0
The Fox and the Hound,2,14900000.0,29800000.0
The Frogtown,1,0.0,0.0
The Fugitive / U.S. Marshals,2,235621582.0,471243165.0
The Gamers,4,0.0,0.0
The Garden of Sinners,9,0.0,0.0
The Gate,2,0.0,0.0
The Gidget,2,0.0,0.0
The Gingerdead Man,3,0.0,0.0
The Godfather,3,143125105.0,429375314.0
The Gods Must Be Crazy,3,20000000.0,60000000.0
The Good Witch,3,0.0,0.0
The Gorky,2,0.0,0.0
The Gremlins,2,97282654.0,194565309.0
The Grudge,3,87076150.0,261228450.0
The Gruffalo,3,0.0,0.0
The Guyver,2,0.0,0.0
The Hamiltons,2,0.0,0.0
The Hangover,3,358575559.0,1075726677.0
The Hannibal Lecter Anthology,5,184884460.0,924422301.0
The Happy Hooker,2,0.0,0.0
The Haunting in Connecticut,2,38763866.0,77527732.0
The Heroic Trio,1,0.0,0.0
The Hills Have Eyes (Original),2,12500000.0,25000000.0
The Hills Have Eyes (Reboot),2,34811856.0,69623713.0
The Hire,9,0.0,0.0
The Hitcher (1986),2,2922434.0,5844868.0
The Hobbit,3,978507785.0,2935523356.0
The Hobgoblin,1,0.0,0.0
The Houses October Built,1,0.0,0.0
The Howling,7,2569413.0,17985893.0
The Human Centipede,3,0.0,0.0
The Human Condition,3,0.0,0.0
The Hunchback of Notre Dame,2,50069426.0,100138851.0
The Hunger Games,4,736040658.0,2944162634.0
The Hunters,2,0.0,0.0
The Huntsman,2,280601082.0,561202163.0
The Hustler,2,29946991.0,59893982.0
The Inbetweeners,2,44012890.0,88025781.0
The Incredible Hulk (TV Movie),3,0.0,0.0
The Incredibles,1,631442092.0,631442092.0
The Invisible Man (Universal Series),5,208000.0,1040000.0
The Jack Ryan,5,167337682.0,836688411.0
The Jake Gittes,2,20000000.0,40000000.0
The Jaws,4,199601519.0,798406075.0
The Joys of Torture Series,1,0.0,0.0
The Jungle Book,2,170761806.0,341523612.0
The Karate Kid,4,65175702.0,260702809.0
The Kingdom,2,0.0,0.0
The Klapisch Trilogy,3,9208367.0,27625100.0
The Krays,1,0.0,0.0
The Land Before Time,14,6032918.0,84460846.0
The Last Exorcism,2,41458696.0,82917392.0
